Start Frequency,Stop Frequency,License,Transmission Type Color,Key
135.7 kHz,137.8 kHz,"E,A,G",Green,"phone and image"
135.7 kHz,137.8 kHz,"E,A,G",Red,"RTTY and data"
472 kHz,479 kHz,"E,A,G",Green,"phone and image"
472 kHz,479 kHz,"E,A,G",Red,"RTTY and data"
1.800 MHz,2.000 MHz,"E,A,G",Green,"phone and image"
1.800 MHz,2.000 MHz,"E,A,G",Red,"RTTY and data"
3.500 MHz,3.600 MHz,E,Red,"RTTY and data"
3.600 MHz,4.000 MHz,E,Green,"phone and image"
3.525 MHz,3.600 MHz,A,Red,"RTTY and data"
3.700 MHz,4.000 MHz,A,Green,"phone and image"
3.525 MHz,3.600 MHz,G,Red,"RTTY and data"
3.800 MHz,4.000 MHz,G,Green,"phone and image"
3.525 MHz,3.600 MHz,"N,T",White,"CW only"
5332 kHz,5405 kHz,"E,A,G",Blue,"USB, CW and digital modes"
7.000 MHz,7.125 MHz,E,Red,"RTTY and data"
7.125 MHz,7.300 MHz,E,Green,"phone and image"
7.025 MHz,7.125 MHz,A,Red,"RTTY and data"
7.125 MHz,7.300 MHz,A,Green,"phone and image"
7.025 MHz,7.125 MHz,G,Red,"RTTY and data"
7.175 MHz,7.300 MHz,G,Green,"phone and image"
7.025 MHz,7.125 MHz,"N,T",White,"CW only"
10.100 MHz,10.150 MHz,"E,A,G",Red,"RTTY and data"
14.000 MHz,14.150 MHz,E,Red,"RTTY and data"
14.150 MHz,14.350 MHz,E,Green,"phone and image"
14.025 MHz,14.150 MHz,A,Red,"RTTY and data"
14.175 MHz,14.350 MHz,A,Green,"phone and image"
14.025 MHz,14.150 MHz,G,Red,"RTTY and data"
14.225 MHz,14.350 MHz,G,Green,"phone and image"
18.068 MHz,18.110 MHz,"E,A,G",Red,"RTTY and data"
18.110 MHz,18.168 MHz,"E,A,G",Green,"phone and image"
21.000 MHz,21.200 MHz,E,Red,"RTTY and data"
21.200 MHz,21.450 MHz,E,Green,"phone and image"
21.025 MHz,21.200 MHz,A,Red,"RTTY and data"
21.225 MHz,21.450 MHz,A,Green,"phone and image"
21.025 MHz,21.200 MHz,G,Red,"RTTY and data"
21.275 MHz,21.450 MHz,G,Green,"phone and image"
21.025 MHz,21.200 MHz,"N,T",White,"CW only"
24.890 MHz,24.930 MHz,"E,A,G",Red,"RTTY and data"
24.930 MHz,24.990 MHz,"E,A,G",Green,"phone and image"
28.000 MHz,28.300 MHz,"E,A,G",Red,"RTTY and data"
28.300 MHz,29.700 MHz,"E,A,G",Green,"phone and image"
28.000 MHz,28.300 MHz,"N,T",Red,"RTTY and data"
28.300 MHz,28.500 MHz,"N,T",Yellow,"SSB phone"
50.0 MHz,50.1 MHz,"E,A,G,T",White,"CW only"
50.1 MHz,54.0 MHz,"E,A,G,T",Green,"phone and image"
50.1 MHz,54.0 MHz,"E,A,G,T",Red,"RTTY and data"
144.0 MHz,144.1 MHz,"E,A,G,T",White,"CW only"
144.1 MHz,148.0 MHz,"E,A,G,T",Green,"phone and image"
144.1 MHz,148.0 MHz,"E,A,G,T",Red,"RTTY and data"
219.0 MHz,220.0 MHz,"E,A,G,T",Orange,"Fixed digital message forwarding systems only"
222.0 MHz,225.0 MHz,"E,A,G,T,N",Green,"phone and image"
222.0 MHz,225.0 MHz,"E,A,G,T,N",Red,"RTTY and data"
420.0 MHz,450.0 MHz,"E,A,G,T",Green,"phone and image"
420.0 MHz,450.0 MHz,"E,A,G,T",Red,"RTTY and data"
902.0 MHz,928.0 MHz,"E,A,G,T",Green,"phone and image"
902.0 MHz,928.0 MHz,"E,A,G,T",Red,"RTTY and data"
1240 MHz,1300 MHz,"E,A,G,T",Green,"phone and image"
1240 MHz,1300 MHz,"E,A,G,T",Red,"RTTY and data"
1270 MHz,1295 MHz,N,Green,"phone and image"
1270 MHz,1295 MHz,N,Red,"RTTY and data"

